Designator,MidX,MidY,Layer,Rotation
C6,123.15,-87.05,B,90
C7,123.4,-98.4,B,-90
C10,125.4,-87.15,B,90
C11,129.32,-92.5,B,0
C12,128.5,-93.45,B,0
C13,128.67,-90.45,B,0
C14,121.85,-87,B,90
C15,121.9,-98.55,B,-90
C16,118.05,-90.1,B,180
C17,118,-93.8,B,180
C18,126.2,-98.18,B,-90
C19,129.175,-89.15,B,0
AV1,156.95,-94.2,T,90
AV2,156.95,-82.85,T,90
C1,134.9,-68.35,T,0
C2,117.484996,-79.9975,T,90
C3,122.35,-99.05,T,-90
C4,124.8,-100.4,T,0
C5,118.45,-74.9,T,0
C8,117.75,-92.1,T,180
C9,128.55,-86.95,T,0
C20,118.1,-72.55,T,180
C21,143.5,-93,T,0
C22,143.24,-86.85,T,180
C23,147.65,-100.06,T,0
C24,140.05,-101.59,T,-90
C25,142.1,-98.49,T,90
C26,141.85,-66.75,T,0
C27,134.87,-70.65,T,0
C28,132.07,-72.502456,T,-90
C29,106.4375,-113.19,T,0
C30,106.4575,-110.29,T,0
Card1,98.45,-114.7,T,-90
D1,135.85,-92.45,T,-90
D2,135.85,-88.15,T,-90
D3,135.85,-84.1,T,-90
D4,135.95,-80.2,T,-90
D5,149.85,-90.8875,T,90
D6,146.05,-82.7625,T,-90
J1,126.5,-69.522456,T,180
J3,96.02,-97.1,T,180
J4,136.75,-107.2,T,-90
J5,156.25,-108.3,T,-90
L1,125.95,-84.2,T,90
Q1,148.1025,-85.9,T,180
R2,123.35,-99.1,T,-90
R3,138.7625,-88.7,T,180
R4,129.5,-100.55,T,90
R5,128.5,-85.75,T,180
R6,118,-89.5,T,180
R7,123.55,-86.65,T,-90
R8,124.6,-86.65,T,-90
R10,104.97,-104.05,T,180
R11,127.95,-73.95,T,90
R12,124.35,-74,T,-90
R13,141.2025,-91.3,T,90
R14,139.55,-100.16,T,0
R15,151.9,-97.9,T,90
R16,141.5,-100.16,T,0
R17,145.29,-88.1,T,180
R18,143.4,-88.1,T,180
R19,140.6925,-86.35,T,180
R20,138.7925,-86.35,T,180
R21,145.29,-89.1,T,0
R22,140.6125,-84.05,T,180
R23,138.7025,-84.05,T,180
R24,143.9525,-85.15,T,180
R25,138.7125,-81.65,T,180
R26,104.97,-102.45,T,180
R27,104.97,-100.85,T,180
R28,104.97,-99.25,T,180
R29,104.97,-97.7,T,180
R30,104.945,-96.1,T,180
R31,104.945,-94.5,T,180
R32,104.945,-92.95,T,180
R33,102.3,-91.95,T,0
R34,102.35,-90.2,T,0
R35,106.5875,-117.74,T,180
R36,106.1375,-107.59,T,180
R37,106.4275,-115.24,T,180
R38,140.6525,-88.7,T,0
R39,140.61,-81.65,T,0
SW3,114.43,-91.65,T,-90
SW4,133.35,-99.85,T,0
U1,123.429996,-93.0625,T,0
U2,112.35,-74.85,T,180
U3,116.5,-83.9,T,0
U4,129.5875,-76.65,T,0
U5,140.4,-72.22,T,-90
Y1,121.7,-101.8,T,0